category,subcategory
"Administration","Administrative Support and Clerical Tasks"
"Administration","Dictation"
"Administration","Document Management"
"Administration","Office and Productivity Equipment and Technology"
"Administration","Office Management"
"Administration","Scheduling"
"Agriculture, Horticulture, and Landscaping","Agricultural Management and Operations"
"Agriculture, Horticulture, and Landscaping","Agricultural Research and Agronomy"
"Agriculture, Horticulture, and Landscaping","Agriculture and Crop Farming"
"Agriculture, Horticulture, and Landscaping","Aquaculture"
"Agriculture, Horticulture, and Landscaping","Cannabis"
"Agriculture, Horticulture, and Landscaping","Landscaping and Horticulture"
"Agriculture, Horticulture, and Landscaping","Livestock Farming"
"Analysis","Business Intelligence"
"Analysis","Business Intelligence Software"
"Analysis","Data Analysis"
"Analysis","Data Science"
"Analysis","Data Visualization"
"Analysis","Image Analysis"
"Analysis","Mathematical Software"
"Analysis","Mathematics and Mathematical Modeling"
"Analysis","Natural Language Processing (NLP)"
"Analysis","Statistical Software"
"Analysis","Statistics"
"Architecture and Construction","Architectural Design"
"Architecture and Construction","Carpentry"
"Architecture and Construction","Concrete and Masonry"
"Architecture and Construction","Construction Estimating"
"Architecture and Construction","Construction Inspection"
"Architecture and Construction","Construction Management"
"Architecture and Construction","Construction Painting"
"Architecture and Construction","Electrical Construction"
"Architecture and Construction","General Construction and Construction Labor"
"Architecture and Construction","Green Architecture"
"Architecture and Construction","Heavy Equipment Operation"
"Architecture and Construction","Insulation"
"Architecture and Construction","Interior Design"
"Architecture and Construction","Road and Bridge Construction"
"Architecture and Construction","Roofing"
"Business","Business Analysis"
"Business","Business Communications"
"Business","Business Consulting"
"Business","Business Continuity"
"Business","Business Leadership"
"Business","Business Management"
"Business","Business Operations"
"Business","Business Solutions"
"Business","Business Strategy"
"Business","Contract Management"
"Business","Customer Relationship Management (CRM)"
"Business","Internal Controls"
"Business","People Management"
"Business","Performance Management"
"Business","Pricing Analysis"
"Business","Process Improvement and Optimization"
"Business","Product Management"
"Business","Project Management"
"Business","Risk Management"
"Customer and Client Support","Cash Register Operation"
"Customer and Client Support","Client Support"
"Customer and Client Support","Customer Service"
"Customer and Client Support","Insurance and Warranty Claims Processing"
"Customer and Client Support","Payment Processing and Collection"
"Design","Animation and Game Design"
"Design","Art and Illustration"
"Design","Creative Design"
"Design","Digital Design"
"Design","Graphic and Visual Design"
"Design","Graphic and Visual Design Software"
"Design","Industrial Design"
"Design","Presentation Design"
"Design","User Interface and User Experience (UI/UX) Design"
"Economics, Policy, and Social Studies","Economics"
"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development"
"Economics, Policy, and Social Studies","Social Studies"
"Economics, Policy, and Social Studies","Urban and Regional Planning"
"Education and Training","Childhood Education and Development"
"Education and Training","Education Administration"
"Education and Training","Education Software and Technology"
"Education and Training","Higher Education"
"Education and Training","Instructional and Curriculum Design"
"Education and Training","Library and Archiving"
"Education and Training","Program Management"
"Education and Training","Special Education"
"Education and Training","Student Support and Services"
"Education and Training","Teaching"
"Education and Training","Training Programs"
"Energy and Utilities","Clean Energy"
"Energy and Utilities","Electrical Power"
"Energy and Utilities","Energy Efficiency"
"Energy and Utilities","Energy Management"
"Energy and Utilities","Natural Gas"
"Energy and Utilities","Nuclear Energy"
"Energy and Utilities","Oil and Gas"
"Energy and Utilities","Power Generation"
"Energy and Utilities","Solar Energy"
"Energy and Utilities","Water Energy"
"Energy and Utilities","Water Supply, Testing, and Treatment"
"Energy and Utilities","Wind Energy"
"Engineering","Aerospace Engineering"
"Engineering","Automation Engineering"
"Engineering","Automotive Technologies"
"Engineering","Chemical and Biomedical Engineering"
"Engineering","Circuitry"
"Engineering","Civil and Architectural Engineering"
"Engineering","Drafting and Engineering Design"
"Engineering","Electrical and Computer Engineering"
"Engineering","Electromechanical Engineering"
"Engineering","Electronic Hardware"
"Engineering","Electronics Engineering"
"Engineering","Engineering Practices"
"Engineering","Engineering Software"
"Engineering","Engineering, Other"
"Engineering","Engineering, Scientific, and Technical Instruments"
"Engineering","Geological Engineering"
"Engineering","Hardware Description Languages (HDL)"
"Engineering","Industrial Engineering"
"Engineering","Marine and Naval Engineering"
